Product Name,Commercial Partner,Molecular Weight (kDa),Functional Group / Reactivity,Polymer Architecture,Solubility,Intended Application,Polydispersity Index (PDI),Application
PEG 5K NHS,Thermo Fisher,5,NHS ester,Linear,Water-soluble,Protein PEGylation,1.05,Standard for protein conjugation
PEG 20K Maleimide,Sigma-Aldrich,20,Maleimide,Linear,Water-soluble,Peptide PEGylation,1.03,Thiol-specific conjugation
8-arm PEG 10K,Avantor,10,NHS ester,Multi-arm,Water-soluble,Hydrogel formation,1.1,Cross-linking for tissue engineering
PEG 40K Carboxyl,Thermo Fisher,40,Carboxyl,Linear,Water-soluble,Surface modification,1.07,Biosensor coatings
PEG 2K Azide,Sigma-Aldrich,2,Azide,Linear,Organic solvent soluble,Click chemistry,1.02,Bioorthogonal labeling
Y-shaped PEG 15K,Avantor,15,Maleimide,Bifunctional,Water-soluble,Drug delivery,1.04,Enhanced stability and targeting
PEG 10K Aldehyde,Thermo Fisher,10,Aldehyde,Linear,Water-soluble,Protein PEGylation,1.06,Selective conjugation for proteins
PEG 30K NHS,Sigma-Aldrich,30,NHS ester,Linear,Water-soluble,Bioconjugation,1.05,Reliable PEGylation reagent
6-arm PEG 5K,Avantor,5,Maleimide,Multi-arm,Water-soluble,Hydrogel scaffolds,1.1,Tissue engineering applications
PEG 1K Carboxyl,Thermo Fisher,1,Carboxyl,Linear,Water-soluble,Analytical chemistry,1.01,Calibration standards
PEG 12K NHS,Sigma-Aldrich,12,NHS ester,Linear,Water-soluble,Protein labeling,1.07,Protein modification
4-arm PEG 20K,Avantor,20,Amine,Multi-arm,Water-soluble,Scaffold synthesis,1.09,Multi-point cross-linking
PEG 25K Maleimide,Thermo Fisher,25,Maleimide,Linear,Water-soluble,Enzyme PEGylation,1.04,Enzyme stability enhancement
PEG 35K Carboxyl,Sigma-Aldrich,35,Carboxyl,Linear,Water-soluble,Nanoparticle coating,1.12,Surface passivation
PEG 3K Azide,Avantor,3,Azide,Linear,Organic solvent soluble,Chemical biology,1.02,Click-based probe synthesis
PEG 7K NHS,Thermo Fisher,7,NHS ester,Linear,Water-soluble,Biomolecule conjugation,1.03,Amine group targeting
PEG 18K Aldehyde,Sigma-Aldrich,18,Aldehyde,Linear,Water-soluble,Protein PEGylation,1.06,Selective protein modification
6-arm PEG 15K,Avantor,15,NHS ester,Multi-arm,Water-soluble,Hydrogel applications,1.13,3D cell culture support
PEG 8K Carboxyl,Thermo Fisher,8,Carboxyl,Linear,Water-soluble,Surface modification,1.07,Microarray preparation
PEG 50K Maleimide,Sigma-Aldrich,50,Maleimide,Linear,Water-soluble,High MW PEGylation,1.18,Macromolecular protection
8-arm PEG 30K,Avantor,30,NHS ester,Multi-arm,Water-soluble,Hydrogel network,1.1,Soft biomaterials
PEG 6K Azide,Thermo Fisher,6,Azide,Linear,Organic solvent soluble,Orthogonal labeling,1.03,In situ bio-chemistry
4-arm PEG 5K,Sigma-Aldrich,5,Maleimide,Multi-arm,Water-soluble,Tissue engineering,1.1,Matrix stabilization
PEG 9K NHS,Avantor,9,NHS ester,Linear,Water-soluble,Biomolecule PEGylation,1.04,General purpose
PEG 13K Carboxyl,Thermo Fisher,13,Carboxyl,Linear,Water-soluble,Enzyme coating,1.09,Enzyme stabilization
PEG 17K Maleimide,Sigma-Aldrich,17,Maleimide,Linear,Water-soluble,Drug linker,1.06,Payload attachment
Y-shaped PEG 12K,Avantor,12,NHS ester,Bifunctional,Water-soluble,Diagnostic probes,1.08,Dual site modification
PEG 22K Aldehyde,Thermo Fisher,22,Aldehyde,Linear,Water-soluble,Protein cross-linking,1.15,Site-specific binding
PEG 14K Azide,Sigma-Aldrich,14,Azide,Linear,Organic solvent soluble,Click-based therapeutics,1.04,Tagging & labeling
6-arm PEG 7K,Avantor,7,Maleimide,Multi-arm,Water-soluble,Hydrogel precursor,1.12,Biomaterial synthesis
PEG 31K NHS,Thermo Fisher,31,NHS ester,Linear,Water-soluble,Steric shielding,1.09,Reducing immunogenicity
PEG 11K Carboxyl,Sigma-Aldrich,11,Carboxyl,Linear,Water-soluble,Nanoparticle PEGylation,1.08,Stable colloids
8-arm PEG 12K,Avantor,12,NHS ester,Multi-arm,Water-soluble,Gel matrix creation,1.09,Cell encapsulation
PEG 16K Maleimide,Thermo Fisher,16,Maleimide,Linear,Water-soluble,Therapeutic delivery,1.16,Improved circulation half-life
PEG 27K NHS,Sigma-Aldrich,27,NHS ester,Linear,Water-soluble,Polypeptide conjugation,1.07,Extending in vivo lifetime
4-arm PEG 8K,Avantor,8,Amine,Multi-arm,Water-soluble,Biodegradable hydrogels,1.1,Drug depot formulation
PEG 21K Aldehyde,Thermo Fisher,21,Aldehyde,Linear,Water-soluble,Protein cross-linking,1.08,Bioconjugate assembly
PEG 19K Azide,Sigma-Aldrich,19,Azide,Linear,Organic solvent soluble,Click toolkit,1.03,Labeled therapeutic probes
6-arm PEG 18K,Avantor,18,NHS ester,Multi-arm,Water-soluble,Hydrogel reinforcement,1.12,3D cell embedding
PEG 28K Carboxyl,Thermo Fisher,28,Carboxyl,Linear,Water-soluble,Biomaterial stabilization,1.09,Implant coatings
PEG 45K Maleimide,Sigma-Aldrich,45,Maleimide,Linear,Water-soluble,Bulk PEGylation,1.19,Macromolecule stabilization
Y-shaped PEG 9K,Avantor,9,NHS ester,Bifunctional,Water-soluble,Imaging agent,1.07,Targeted delivery via dual conjugation
PEG 23K Aldehyde,Thermo Fisher,23,Aldehyde,Linear,Water-soluble,Protein cross-linking,1.15,Covalent assembly
PEG 10K Azide,Sigma-Aldrich,10,Azide,Linear,Organic solvent soluble,Click-enabled scaffolds,1.04,Linker design
6-arm PEG 16K,Avantor,16,Maleimide,Multi-arm,Water-soluble,Biomaterials,1.1,Cell encapsulation
PEG 34K NHS,Thermo Fisher,34,NHS ester,Linear,Water-soluble,Protein PEGylation,1.12,High MW protein binding
PEG 8K Carboxyl,Sigma-Aldrich,8,Carboxyl,Linear,Water-soluble,Nanoparticle surface passivation,1.05,Stealth effects
4-arm PEG 16K,Avantor,16,NHS ester,Multi-arm,Water-soluble,Hydrogel for delivery,1.12,Controlled release matrix
PEG 29K Maleimide,Thermo Fisher,29,Maleimide,Linear,Water-soluble,Glycoprotein PEGylation,1.12,Therapeutic protein formulations
PEG 32K NHS,Sigma-Aldrich,32,NHS ester,Linear,Water-soluble,Bioprocess medium,1.13,Polymer crowding agent
Y-shaped PEG 16K,Avantor,16,Amine,Bifunctional,Water-soluble,Bioactive surfaces,1.09,Bivalency for targeting
PEG 5K Carboxyl,Thermo Fisher,5,Carboxyl,Linear,Water-soluble,Bioanalysis,1.01,Marker for MS assays
PEG 50K NHS,Sigma-Aldrich,50,NHS ester,Linear,Water-soluble,Protein conjugate formation,1.2,Ultrahigh MW PEGylation
PEG 24K Maleimide,Avantor,24,Maleimide,Linear,Water-soluble,Glycoconjugate PEGylation,1.15,Prolonged action therapeutics
